backbone,id_size,method,implementation_version,n,AUROC,FPR95,AUPR_OUT
dinov2_vitl14,4,rsn_paper,verified_v1,210,0.8693490596949308,0.6105943041044986,0.8286987103734152
dinov2_vitl14,4,mahalanobispp,verified_v1,210,0.8682581709155007,0.6716565862456946,0.8154754814008088
dinov2_vitl14,4,gen,verified_v1,210,0.8682434667359512,0.5936291535744914,0.8431499805902437
dinov2_vitl14,4,energy,verified_v1,210,0.866735783429363,0.593115641444163,0.8424416956863194
dinov2_vitl14,4,scale,verified_v1,210,0.8632516093014708,0.6008903868663351,0.8386876127244222
dinov2_vitl14,4,nci,verified_v1,210,0.8497005306344843,0.6425952611573328,0.8140767633739306
dinov2_vitl14,4,rmd,verified_v1,210,0.8450173448927105,0.5869469660224144,0.8320474646770357
dinov2_vitl14,4,kl_matching,verified_v1,210,0.8393417902623111,0.6206646016569576,0.8223471049941307
dinov2_vitl14,4,dice,verified_v1,210,0.8350852832276436,0.7742754719236203,0.7823500430382836
dinov2_vitl14,4,react,verified_v1,210,0.6195030718256215,0.87791038727327,0.5958088807126063
dinov2_vitl14,4,ashs,verified_v1,210,0.49709828236800996,0.9484524179110255,0.5012485603463934
dinov2_vitl14,4,ashp,verified_v1,210,0.49455147891383267,0.9573512113495072,0.49150269601752933
dinov2_vitl14,4,ashb,verified_v1,210,0.4944199579664934,0.9415061112045303,0.5044898145293245
ALL,5,openmax,verified_v1,336,0.8657777423321249,0.6563728302678921,0.7460317103545733
ALL,5,rsn_reported,verified_v1,336,0.8623789204586125,0.595233882776756,0.7417773796272857
ALL,5,msp,verified_v1,336,0.8607439139000206,0.6813030528157169,0.7361740858250707
ALL,5,maxlogit,verified_v1,336,0.8591131603064868,0.6795668900321917,0.7353712146594875
ALL,5,knn,verified_v1,336,0.8564991211044111,0.6401004328723305,0.7255322376077987
ALL,5,entropy,verified_v1,336,0.8529997764881353,0.6702424351829837,0.732610966356194
ALL,5,gradnorm,verified_v1,336,0.8524825904724583,0.6716843473276731,0.7305851150903082
ALL,5,gen,verified_v1,336,0.8497504065034192,0.6700318785254888,0.7304783561062099
ALL,5,energy,verified_v1,336,0.8480466233514582,0.669811800222866,0.7294214516784082
ALL,5,rsn_paper,verified_v1,336,0.847128280095706,0.6689043977672628,0.7136659695479651
ALL,5,scale,verified_v1,336,0.8465651874547407,0.6705000984673666,0.7270802585995164
ALL,5,rmd,verified_v1,336,0.8457967612960784,0.6018262179133683,0.7561510324021385
ALL,5,kl_matching,verified_v1,336,0.8362223951299826,0.6624024083944678,0.7264776744530903
ALL,5,mahalanobis,verified_v1,336,0.8263393629009231,0.7732371664272379,0.6641851170312408
ALL,5,vim,verified_v1,336,0.8262040905704788,0.7847519099870469,0.6596553165168552
ALL,5,nci,verified_v1,336,0.8250105454212424,0.7624994608105482,0.6729601862268922
ALL,5,mahalanobispp,verified_v1,336,0.823161087859032,0.7821197917626025,0.6593611019083118
