backbone,id_size,method,n,AUROC,FPR95,AUPR_OUT
dinov2_vitl14,7,dice,24,0.692453,0.834069,0.275435
dinov2_vitl14,7,energy,24,0.826807,0.815732,0.326348
dinov2_vitl14,7,entropy,24,0.832862,0.812729,0.331656
dinov2_vitl14,7,gen,24,0.828273,0.814756,0.327502
dinov2_vitl14,7,gradnorm,24,0.822137,0.805423,0.326498
dinov2_vitl14,7,kl_matching,24,0.834015,0.680374,0.41686
dinov2_vitl14,7,knn,24,0.838756,0.731589,0.395822
dinov2_vitl14,7,mahalanobis,24,0.811133,0.793738,0.34342
dinov2_vitl14,7,mahalanobispp,24,0.809063,0.800376,0.341576
dinov2_vitl14,7,maxlogit,24,0.846111,0.808554,0.349762
dinov2_vitl14,7,msp,24,0.84765,0.806593,0.352234
dinov2_vitl14,7,nci,24,0.825384,0.783164,0.354386
dinov2_vitl14,7,openmax,24,0.840902,0.695562,0.404583
dinov2_vitl14,7,react,24,0.775778,0.779915,0.312243
dinov2_vitl14,7,rmd,24,0.826678,0.639989,0.444389
dinov2_vitl14,7,rsn_paper,24,0.815624,0.756958,0.344907
dinov2_vitl14,7,rsn_reported,24,0.840282,0.663411,0.405324
dinov2_vitl14,7,scale,24,0.827219,0.816651,0.326115
dinov2_vitl14,7,vim,24,0.809673,0.813012,0.329343
